Income,var,est,est_l,est_u
Low,a,0.07,0.015433891,0.132790435
Medium,a,0.06,0.010466393,0.115818259
High,a,0,-0.065933832,0.070587968
Low,b,-0.01,-0.035992303,0.016795485
Medium,b,-0.01,-0.035236225,0.015998629
High,b,0,-0.039383487,0.040998137
Low,c,-0.05,-0.090699812,-0.004907917
Medium,c,-0.12,-0.152174125,-0.072182291
High,c,-0.06,-0.103445324,-0.010745846
