,Symptom,Population_density
9938,a,662.7179753
6493,e,662.89614
8032,a,662.89614
8641,a,662.89614
10057,e,662.89614
6041,a,663.4573043
7045,a,663.4573043
7558,e,663.4573043
9345,a,663.4573043
2154,e,666.7112865
2155,e,666.7112865
2156,e,666.7112865
2158,e,666.7112865
2162,a,666.7112865
2163,e,666.7112865
2164,b,666.7112865
2165,e,666.7112865
2166,a,666.7112865
2167,e,666.7112865
2168,b,666.7112865
2169,a,666.7112865
2171,a,666.7112865
2174,e,666.7112865
2175,e,666.7112865
2176,a,666.7112865
2181,b,666.7112865
2182,c,666.7112865
2183,a,666.7112865
2184,b,666.7112865
2185,a,666.7112865
2186,a,666.7112865
2188,e,666.7112865
2190,a,666.7112865
2191,e,666.7112865
2192,b,666.7112865
2193,a,666.7112865
2194,a,666.7112865
2195,a,666.7112865
2197,a,666.7112865
2201,a,666.7112865
2204,b,666.7112865
2207,a,666.7112865
2208,e,666.7112865
2210,b,666.7112865
2211,a,666.7112865
2212,b,666.7112865
2216,c,666.7112865
2217,d,666.7112865
2218,e,666.7112865
2219,a,666.7112865
2220,a,666.7112865
2221,a,666.7112865
2224,e,666.7112865
2225,e,666.7112865
2227,e,666.7112865
2229,b,666.7112865
2230,e,666.7112865
2231,b,666.7112865
2233,e,666.7112865
2235,b,666.7112865
2236,b,666.7112865
2237,a,666.7112865
2238,e,666.7112865
2245,a,666.7112865
2246,a,666.7112865
2249,a,666.7112865
2250,a,666.7112865
2251,a,666.7112865
2254,d,666.7112865
2255,e,666.7112865
2256,a,666.7112865
2258,a,666.7112865
2260,a,666.7112865
4235,a,666.7112865
4236,b,666.7112865
4237,a,666.7112865
4238,d,666.7112865
4239,b,666.7112865
4241,b,666.7112865
4242,a,666.7112865
4244,a,666.7112865
4245,b,666.7112865
4249,c,666.7112865
4250,a,666.7112865
4251,a,666.7112865
4252,b,666.7112865
4256,b,666.7112865
4257,b,666.7112865
4259,e,666.7112865
4260,c,666.7112865
4262,b,666.7112865
4263,a,666.7112865
4264,a,666.7112865
4265,b,666.7112865
4266,e,666.7112865
4268,e,666.7112865
4269,c,666.7112865
4270,e,666.7112865
4275,a,666.7112865
4276,a,666.7112865
4277,b,666.7112865
4279,b,666.7112865
4281,a,666.7112865
4282,a,666.7112865
4283,a,666.7112865
4284,c,666.7112865
4285,c,666.7112865
4286,a,666.7112865
4287,b,666.7112865
4288,c,666.7112865
4290,b,666.7112865
4291,e,666.7112865
4293,b,666.7112865
4294,e,666.7112865
4297,c,666.7112865
4298,a,666.7112865
4301,b,666.7112865
4303,a,666.7112865
4304,c,666.7112865
4305,e,666.7112865
4306,a,666.7112865
4308,e,666.7112865
4309,a,666.7112865
4310,c,666.7112865
4313,b,666.7112865
4314,b,666.7112865
4315,a,666.7112865
4316,b,666.7112865
4317,a,666.7112865
4318,a,666.7112865
4319,b,666.7112865
4322,a,666.7112865
4324,b,666.7112865
4327,b,666.7112865
4328,b,666.7112865
4329,b,666.7112865
4332,e,666.7112865
4333,b,666.7112865
4334,c,666.7112865
4339,e,666.7112865
4340,e,666.7112865
4342,a,666.7112865
4343,a,666.7112865
4344,a,666.7112865
4346,e,666.7112865
4348,e,666.7112865
4350,a,666.7112865
4351,a,666.7112865
4352,a,666.7112865
4353,a,666.7112865
4355,c,666.7112865
4357,a,666.7112865
4358,a,666.7112865
10036,a,667.2373585
509,a,668.5723327
5672,b,669.4116906
1,a,670
5655,b,670.8680803
9247,c,670.8680803
1077,a,671.4177809
1109,a,671.4177809
1114,a,671.4177809
1121,a,671.4177809
1130,a,671.4177809
1175,b,671.4177809
1176,a,671.4177809
971,a,671.8312164
571,a,672.1854242
557,a,673
6148,b,673.6111526
7977,b,673.6111526
9077,a,673.6111526
10624,a,673.6111526
5926,a,675.383628
8779,b,675.383628
9022,e,675.383628
10179,c,675.383628
299,b,676.3709121
1076,a,676.4317269
1085,e,676.4317269
1089,a,676.4317269
1099,b,676.4317269
1100,e,676.4317269
1105,e,676.4317269
1106,a,676.4317269
1108,a,676.4317269
1112,c,676.4317269
1115,a,676.4317269
1116,a,676.4317269
1118,b,676.4317269
1119,a,676.4317269
1120,a,676.4317269
1124,a,676.4317269
1126,b,676.4317269
1131,c,676.4317269
1133,a,676.4317269
1136,e,676.4317269
1137,a,676.4317269
1140,d,676.4317269
1144,b,676.4317269
1146,e,676.4317269
1147,e,676.4317269
1149,a,676.4317269
1154,a,676.4317269
1159,a,676.4317269
1165,a,676.4317269
1172,c,676.4317269
8248,e,679.7477325
8851,c,679.7477325
7744,c,682.46091
8897,a,682.46091
11076,a,682.46091
11310,a,682.46091
9326,e,682.6513835
2502,e,684.02185
2534,a,684.02185
2547,a,684.02185
4584,e,684.02185
4588,c,684.02185
4620,b,684.02185
4662,a,684.02185
4669,b,684.02185
4672,a,684.02185
5812,a,684.7471454
7356,a,684.7471454
488,b,686
7450,a,687.2596014
8226,b,687.2596014
5725,a,687.9336593
2667,e,688.6391263
4864,b,688.6391263
2098,a,689.9100394
2142,a,689.9100394
4104,b,689.9100394
4179,a,689.9100394
4187,d,689.9100394
4231,b,689.9100394
7928,b,691.9071287
10876,b,691.9071287
1354,a,692.0283379
293,b,692.3668359
1673,c,695.9606714
1684,e,695.9606714
1703,a,695.9606714
1749,e,695.9606714
3646,a,695.9606714
3662,b,695.9606714
3668,b,695.9606714
3680,b,695.9606714
3691,a,695.9606714
3695,c,695.9606714
3706,c,695.9606714
7657,a,696.0770981
7758,c,696.0770981
6179,a,696.2424291
6564,b,696.2424291
6647,a,696.2424291
7926,a,696.2424291
8057,a,696.2424291
8404,a,696.2424291
9204,a,696.2424291
9419,a,696.2424291
9421,b,696.2424291
9460,b,696.2424291
9816,a,696.2424291
6656,b,697.5869429
1043,a,698.0783499
9315,b,699.0007249
9340,b,699.0007249
1215,a,702.3946468
1217,a,702.3946468
1235,e,702.3946468
1239,e,702.3946468
2178,e,702.5263013
2205,b,702.5263013
2214,e,702.5263013
2223,b,702.5263013
4247,c,702.5263013
4253,c,702.5263013
4295,e,702.5263013
4296,a,702.5263013
4320,a,702.5263013
4321,a,702.5263013
4347,a,702.5263013
8728,a,702.655421
9308,e,702.655421
306,a,706.3126041
5735,a,706.5371956
6832,e,706.5371956
7406,c,706.5371956
8409,a,706.5371956
10688,a,706.5371956
897,b,707.2347728
3279,a,709.1499363
3281,e,709.1499363
3283,e,709.1499363
3284,c,709.1499363
3285,e,709.1499363
3286,c,709.1499363
5541,c,709.1499363
5542,c,709.1499363
5544,e,709.1499363
5545,b,709.1499363
5546,c,709.1499363
5548,e,709.1499363
5549,b,709.1499363
5552,e,709.1499363
1084,c,709.159808
341,e,709.4341839
342,d,709.4341839
405,a,709.4341839
981,e,710.288626
5883,a,712.0986534
7630,d,712.0986534
10384,e,712.0986534
527,a,712.386897
2353,a,712.3998562
2354,a,712.3998562
2357,a,712.3998562
2361,e,712.3998562
2365,e,712.3998562
2366,d,712.3998562
2368,b,712.3998562
2370,e,712.3998562
2371,b,712.3998562
2372,a,712.3998562
2377,a,712.3998562
2382,b,712.3998562
2384,a,712.3998562
2385,b,712.3998562
2390,c,712.3998562
2393,a,712.3998562
2395,a,712.3998562
2397,e,712.3998562
2399,b,712.3998562
2401,a,712.3998562
2402,d,712.3998562
2407,c,712.3998562
2415,e,712.3998562
2416,a,712.3998562
2420,d,712.3998562
4450,c,712.3998562
4451,b,712.3998562
4456,a,712.3998562
4458,b,712.3998562
4462,b,712.3998562
4464,a,712.3998562
4468,a,712.3998562
4470,a,712.3998562
4475,c,712.3998562
4480,a,712.3998562
4481,e,712.3998562
4483,c,712.3998562
4484,b,712.3998562
4485,a,712.3998562
4488,a,712.3998562
4490,b,712.3998562
4492,e,712.3998562
4494,c,712.3998562
4499,b,712.3998562
4500,a,712.3998562
4503,b,712.3998562
4505,b,712.3998562
4506,a,712.3998562
4508,e,712.3998562
4509,b,712.3998562
4510,c,712.3998562
4511,e,712.3998562
4512,b,712.3998562
4513,e,712.3998562
4514,b,712.3998562
4515,b,712.3998562
10382,a,712.7737077
5833,e,716
10695,e,716
10778,b,716
6150,a,716.6459835
8439,b,716.6459835
5654,a,717.8787173
6364,c,717.8787173
7891,a,717.8787173
10118,a,717.8787173
10165,b,719.8362329
8462,b,721.0833462
10640,e,721.0833462
11192,b,721.0833462
2454,c,722.255107
2462,b,722.255107
2538,a,722.255107
4609,c,722.255107
4650,e,722.255107
9126,a,722.7824651
9396,a,722.7824651
510,a,723
8783,a,723.4469796
8976,a,723.4469796
6325,b,725.2469748
10879,e,725.2469748
1801,a,728.0501048
1803,a,728.0501048
1804,a,728.0501048
1806,c,728.0501048
1807,e,728.0501048
1808,e,728.0501048
1809,e,728.0501048
1810,a,728.0501048
1812,a,728.0501048
1813,e,728.0501048
1816,b,728.0501048
1822,b,728.0501048
1823,b,728.0501048
1825,a,728.0501048
1827,a,728.0501048
1828,a,728.0501048
1829,b,728.0501048
1830,b,728.0501048
1836,a,728.0501048
1837,e,728.0501048
1839,c,728.0501048
1840,a,728.0501048
1841,a,728.0501048
3796,a,728.0501048
3797,a,728.0501048
3798,a,728.0501048
3799,a,728.0501048
3800,c,728.0501048
3801,a,728.0501048
3803,c,728.0501048
3805,a,728.0501048
3806,e,728.0501048
3808,a,728.0501048
3809,b,728.0501048
3810,a,728.0501048
3812,b,728.0501048
3813,a,728.0501048
3815,a,728.0501048
3817,e,728.0501048
3819,a,728.0501048
3821,a,728.0501048
3823,b,728.0501048
3824,a,728.0501048
3825,a,728.0501048
3827,a,728.0501048
3828,a,728.0501048
3830,a,728.0501048
3832,a,728.0501048
3836,a,728.0501048
3838,a,728.0501048
3839,b,728.0501048
3840,a,728.0501048
1041,a,729.0110737
8694,a,729.344856
6378,e,729.4543534
9049,a,730.6770936
10678,a,730.6770936
10196,e,732.1757142
10551,b,732.1757142
2070,a,736
2072,a,736
2110,b,736
2111,a,736
2118,b,736
2135,a,736
2153,c,736
4095,b,736
4111,a,736
4151,a,736
4161,a,736
4162,e,736
4173,b,736
4174,a,736
904,e,736.3249425
2559,a,737.5733761
2609,a,737.5733761
4673,a,737.5733761
4764,b,737.5733761
2452,b,738.428326
2467,a,738.428326
2475,a,738.428326
2492,e,738.428326
2494,a,738.428326
2503,a,738.428326
2515,a,738.428326
2524,b,738.428326
2548,a,738.428326
4575,e,738.428326
4645,e,738.428326
4657,a,738.428326
4658,e,738.428326
4659,c,738.428326
4668,a,738.428326
1376,a,740.4041684
1377,c,740.4041684
327,a,741.6948988
411,a,741.6948988
414,a,741.6948988
2362,c,742.0261902
2364,e,742.0261902
2369,e,742.0261902
2373,e,742.0261902
2375,a,742.0261902
2378,a,742.0261902
2379,a,742.0261902
2386,a,742.0261902
2387,e,742.0261902
2388,b,742.0261902
2400,a,742.0261902
2411,c,742.0261902
2414,e,742.0261902
4455,b,742.0261902
4459,b,742.0261902
4474,e,742.0261902
4477,a,742.0261902
4479,a,742.0261902
4482,a,742.0261902
4486,a,742.0261902
4491,a,742.0261902
4493,d,742.0261902
4495,c,742.0261902
4504,c,742.0261902
4520,a,742.0261902
8266,b,742.6152467
7402,b,744.9633325
2558,c,746.3227756
2570,a,746.3227756
2576,a,746.3227756
2579,b,746.3227756
2583,a,746.3227756
2589,a,746.3227756
2592,a,746.3227756
2599,b,746.3227756
4676,a,746.3227756
4699,a,746.3227756
4718,a,746.3227756
4774,e,746.3227756
6529,b,746.8592595
10126,a,746.8592595
10818,a,746.8592595
2562,e,752.0092209
2594,a,752.0092209
2601,c,752.0092209
2634,a,752.0092209
4681,b,752.0092209
4705,b,752.0092209
4707,a,752.0092209
4712,e,752.0092209
4716,d,752.0092209
4733,b,752.0092209
4752,b,752.0092209
6420,b,752.6260198
7026,a,752.8817784
7329,e,752.8817784
8091,c,752.8817784
9490,e,752.8817784
9187,b,756
2339,a,756.6166134
4364,a,756.6166134
4377,a,756.6166134
2264,a,757.4025348
2265,b,757.4025348
2266,e,757.4025348
2267,b,757.4025348
2268,a,757.4025348
2269,a,757.4025348
2270,a,757.4025348
2272,b,757.4025348
2273,a,757.4025348
2274,a,757.4025348
2276,a,757.4025348
2277,a,757.4025348
2280,b,757.4025348
2283,a,757.4025348
2284,e,757.4025348
2286,a,757.4025348
2287,e,757.4025348
2288,a,757.4025348
2291,e,757.4025348
2292,c,757.4025348
2293,a,757.4025348
2294,c,757.4025348
2295,a,757.4025348
2297,b,757.4025348
2299,e,757.4025348
2300,e,757.4025348
2301,e,757.4025348
2302,e,757.4025348
2303,b,757.4025348
2304,a,757.4025348
2305,a,757.4025348
2308,a,757.4025348
2309,c,757.4025348
2310,a,757.4025348
2311,a,757.4025348
2312,e,757.4025348
2313,b,757.4025348
2314,a,757.4025348
2315,b,757.4025348
2316,b,757.4025348
2319,a,757.4025348
2320,a,757.4025348
2322,a,757.4025348
2325,e,757.4025348
2326,e,757.4025348
2327,b,757.4025348
2329,b,757.4025348
2330,a,757.4025348
2332,a,757.4025348
2333,a,757.4025348
2336,b,757.4025348
2338,a,757.4025348
2340,a,757.4025348
2343,b,757.4025348
2344,e,757.4025348
2345,a,757.4025348
2347,a,757.4025348
2348,a,757.4025348
2349,b,757.4025348
2351,b,757.4025348
2352,b,757.4025348
4360,d,757.4025348
4361,b,757.4025348
4363,b,757.4025348
4366,b,757.4025348
4368,a,757.4025348
4369,b,757.4025348
4370,d,757.4025348
4371,b,757.4025348
4372,a,757.4025348
4373,a,757.4025348
4374,b,757.4025348
4378,e,757.4025348
4381,a,757.4025348
4382,b,757.4025348
4384,a,757.4025348
4385,b,757.4025348
4386,a,757.4025348
4387,a,757.4025348
4388,a,757.4025348
4389,e,757.4025348
4390,a,757.4025348
4391,e,757.4025348
4392,e,757.4025348
4393,e,757.4025348
4394,b,757.4025348
4395,a,757.4025348
4396,a,757.4025348
4398,e,757.4025348
4399,e,757.4025348
4400,e,757.4025348
4401,a,757.4025348
4402,a,757.4025348
4406,e,757.4025348
4407,c,757.4025348
4410,e,757.4025348
4411,c,757.4025348
4413,a,757.4025348
4415,a,757.4025348
4417,c,757.4025348
4418,a,757.4025348
4419,a,757.4025348
4421,a,757.4025348
4422,b,757.4025348
4423,a,757.4025348
4427,a,757.4025348
4430,e,757.4025348
4431,a,757.4025348
4432,b,757.4025348
4433,c,757.4025348
4434,a,757.4025348
4437,d,757.4025348
4438,b,757.4025348
4440,b,757.4025348
4443,b,757.4025348
4445,a,757.4025348
4446,a,757.4025348
10590,e,758.6343323
6295,a,759.1386412
6629,b,759.1386412
7187,a,759.1386412
8567,b,759.1386412
10308,a,759.1386412
11146,e,759.1386412
8011,a,768.0887868
10494,a,768.0887868
5700,b,768.6485892
5851,b,768.6485892
6936,a,768.6485892
8282,e,768.6485892
6006,a,769.0703401
6164,b,769.1141831
6708,b,769.1141831
7530,a,769.1141831
10702,b,770.0730405
10860,e,770.0730405
1682,a,770.9641071
1704,a,770.9641071
1708,a,770.9641071
1710,a,770.9641071
1730,a,770.9641071
1735,c,770.9641071
1741,d,770.9641071
1751,a,770.9641071
1752,e,770.9641071
1753,a,770.9641071
1755,a,770.9641071
1760,d,770.9641071
3665,a,770.9641071
3676,b,770.9641071
3678,e,770.9641071
3692,c,770.9641071
3699,c,770.9641071
3700,a,770.9641071
3712,a,770.9641071
3713,a,770.9641071
3714,c,770.9641071
3724,b,770.9641071
3730,b,770.9641071
8900,b,772.7169116
7286,b,773.7863884
7384,a,773.7863884
9977,e,773.7863884
11153,a,773.7863884
6979,e,774.8236453
7341,a,774.8236453
8200,e,774.8236453
9704,e,774.8236453
10748,a,774.8236453
11114,a,774.8236453
2582,e,776.9506759
2627,a,776.9506759
2630,a,776.9506759
2639,a,776.9506759
2647,b,776.9506759
2649,a,776.9506759
2654,e,776.9506759
4678,a,776.9506759
4701,c,776.9506759
7517,e,777.8367208
8853,b,777.8367208
9951,e,777.8367208
10617,c,777.8367208
425,a,780.4113916
844,b,781.1274091
849,d,781.1274091
2604,b,781.2722462
2610,b,781.2722462
2622,e,781.2722462
295,a,784.073728
10145,a,786.6123665
10280,b,786.6123665
6964,b,788.5399082
8291,a,788.5399082
10245,e,788.5399082
5849,d,788.6673704
6027,e,788.6673704
7066,a,788.6673704
7346,e,788.6673704
7437,b,788.6673704
9711,a,788.6673704
10170,a,788.6673704
6514,a,789.3266419
9884,c,789.3266419
11167,e,789.3266419
2458,a,791.5198466
2476,a,791.5198466
2531,e,791.5198466
2537,b,791.5198466
2539,b,791.5198466
2557,a,791.5198466
4574,a,791.5198466
4580,a,791.5198466
4603,a,791.5198466
10045,a,791.7329262
9740,a,791.7637543
2159,a,792.2244187
2161,a,792.2244187
2172,c,792.2244187
2177,e,792.2244187
2187,e,792.2244187
2199,b,792.2244187
2206,e,792.2244187
2222,e,792.2244187
2226,a,792.2244187
2239,a,792.2244187
2241,e,792.2244187
4254,a,792.2244187
4299,a,792.2244187
4312,a,792.2244187
4323,a,792.2244187
4330,c,792.2244187
4336,a,792.2244187
969,a,796.4199935
994,a,796.4199935
6144,a,796.5849458
6192,c,796.5849458
7816,b,796.5849458
8895,e,796.5849458
8762,c,797.0926255
10866,a,797.0926255
2069,b,801.7177932
2083,b,801.7177932
2120,b,801.7177932
2123,b,801.7177932
2129,b,801.7177932
2134,b,801.7177932
4112,a,801.7177932
4148,c,801.7177932
4226,a,801.7177932
4176,a,805.4103804
10896,a,807.1662062
7348,a,807.802041
10558,a,807.802041
1768,b,808.0060261
1771,a,808.0060261
1773,a,808.0060261
1774,c,808.0060261
1776,b,808.0060261
1777,b,808.0060261
1778,e,808.0060261
1780,b,808.0060261
1783,b,808.0060261
1784,e,808.0060261
1786,a,808.0060261
3746,a,808.0060261
3751,c,808.0060261
3753,a,808.0060261
3754,b,808.0060261
3757,e,808.0060261
3764,e,808.0060261
3767,a,808.0060261
3769,a,808.0060261
3773,a,808.0060261
3776,a,808.0060261
3777,e,808.0060261
3778,a,808.0060261
3779,a,808.0060261
3780,b,808.0060261
1196,b,811.4413208
6046,d,812.0564261
2062,e,814.5889638
2088,b,814.5889638
4101,e,814.5889638
4126,a,814.5889638
4180,b,814.5889638
4198,e,814.5889638
833,e,817.1085071
8693,c,817.5406558
11196,a,817.5406558
11238,a,817.5406558
7500,a,820
9112,b,827.4125277
9645,e,827.4125277
10525,e,827.4125277
8621,a,827.4360371
1672,b,828.547295
1679,b,828.547295
1691,b,828.547295
1692,a,828.547295
1696,e,828.547295
1697,a,828.547295
1698,e,828.547295
1700,a,828.547295
1701,a,828.547295
1702,a,828.547295
1707,e,828.547295
1709,a,828.547295
1712,b,828.547295
1717,a,828.547295
1718,a,828.547295
1719,a,828.547295
1724,a,828.547295
1727,a,828.547295
1728,a,828.547295
1729,e,828.547295
1736,a,828.547295
1737,a,828.547295
1739,a,828.547295
1742,e,828.547295
1744,a,828.547295
1745,a,828.547295
1748,a,828.547295
1757,a,828.547295
1759,a,828.547295
3642,a,828.547295
3643,a,828.547295
3651,b,828.547295
3654,a,828.547295
3655,c,828.547295
3658,a,828.547295
3659,a,828.547295
3660,c,828.547295
3661,a,828.547295
3664,a,828.547295
3666,a,828.547295
3669,b,828.547295
3671,a,828.547295
3681,e,828.547295
3682,a,828.547295
3686,a,828.547295
3687,c,828.547295
3688,d,828.547295
3689,b,828.547295
3690,a,828.547295
3693,b,828.547295
3698,a,828.547295
3703,b,828.547295
3704,a,828.547295
3711,a,828.547295
3721,a,828.547295
3726,a,828.547295
3727,a,828.547295
3735,a,828.547295
3736,e,828.547295
3738,e,828.547295
10620,e,828.97906
2278,e,829.1628065
2285,b,829.1628065
2324,e,829.1628065
2331,b,829.1628065
2341,a,829.1628065
4380,a,829.1628065
4383,e,829.1628065
4403,b,829.1628065
4409,b,829.1628065
4429,b,829.1628065
4444,e,829.1628065
5133,a,832.5177409
6244,b,833
10398,b,835.0117017
7214,a,836.1430582
9237,c,836.1430582
556,a,836.4454074
2724,b,838.4061533
2725,e,838.4061533
2727,d,838.4061533
2728,b,838.4061533
2730,c,838.4061533
2731,d,838.4061533
2732,a,838.4061533
2734,e,838.4061533
2738,a,838.4061533
2739,a,838.4061533
2740,a,838.4061533
2742,a,838.4061533
2744,b,838.4061533
2746,a,838.4061533
2748,b,838.4061533
2749,c,838.4061533
2754,e,838.4061533
2755,a,838.4061533
2759,a,838.4061533
2762,e,838.4061533
2767,e,838.4061533
2768,a,838.4061533
2769,b,838.4061533
2771,e,838.4061533
2772,e,838.4061533
2773,a,838.4061533
2774,a,838.4061533
2775,a,838.4061533
2776,a,838.4061533
2778,a,838.4061533
2780,a,838.4061533
2781,e,838.4061533
2783,b,838.4061533
4876,e,838.4061533
4877,a,838.4061533
4878,b,838.4061533
4880,a,838.4061533
4881,b,838.4061533
4882,a,838.4061533
4883,c,838.4061533
4886,a,838.4061533
4887,a,838.4061533
4888,c,838.4061533
4890,a,838.4061533
4895,a,838.4061533
4898,a,838.4061533
4900,b,838.4061533
4901,a,838.4061533
4904,a,838.4061533
4905,e,838.4061533
4907,a,838.4061533
4909,e,838.4061533
4910,c,838.4061533
4914,a,838.4061533
4924,e,838.4061533
4925,a,838.4061533
4928,b,838.4061533
4929,b,838.4061533
4932,e,838.4061533
4933,c,838.4061533
4934,a,838.4061533
2602,e,840.2618039
2615,e,840.2618039
2629,b,840.2618039
4682,a,840.2618039
4711,a,840.2618039
4748,a,840.2618039
4776,b,840.2618039
2596,c,841.5111776
4783,a,841.5111776
10925,a,844.3514718
7256,a,846.1112482
7699,e,846.1112482
8158,c,846.1112482
10093,e,846.1112482
6528,b,847
7334,a,847
7910,a,847
9318,e,847
9994,b,847
386,a,849.6010094
4597,a,850.4311711
4666,a,850.4311711
9259,a,851.9196803
6025,e,854
8817,e,854
927,e,854.0284633
7636,e,855.6131254
9858,e,855.6131254
1009,a,856.7723787
7074,b,857.3365379
9141,a,857.3365379
9762,c,857.3365379
10062,b,857.3365379
163,a,858.8256271
225,b,858.8256271
249,a,858.8256271
260,a,858.8256271
266,a,858.8256271
2422,e,862.8477395
2423,a,862.8477395
2425,b,862.8477395
2426,a,862.8477395
2429,a,862.8477395
2432,e,862.8477395
2434,a,862.8477395
2435,b,862.8477395
2436,a,862.8477395
2437,e,862.8477395
2443,b,862.8477395
2444,a,862.8477395
2445,a,862.8477395
2446,b,862.8477395
2449,a,862.8477395
4522,b,862.8477395
4528,a,862.8477395
4531,b,862.8477395
4532,c,862.8477395
4534,a,862.8477395
4540,b,862.8477395
4541,a,862.8477395
4545,a,862.8477395
4546,b,862.8477395
4549,d,862.8477395
4550,e,862.8477395
4552,b,862.8477395
4553,c,862.8477395
4555,a,862.8477395
4556,a,862.8477395
4557,d,862.8477395
4561,a,862.8477395
4563,a,862.8477395
803,a,863.6132933
2213,b,864.4511468
321,c,865.2245686
366,a,865.2245686
399,c,865.2245686
406,a,865.2245686
420,a,865.2245686
6921,b,869.5190231
7702,a,869.5190231
7762,b,869.5190231
9649,a,869.5190231
6899,a,870.815164
8657,c,870.815164
530,a,874.4009198
944,a,874.8753691
10937,c,877.0446553
5639,b,881.9443737
10690,a,881.9443737
8461,a,885
9086,e,887.1781318
10385,a,887.1781318
11184,a,887.1781318
6281,b,887.5521231
409,c,887.5788247
5826,b,888.5353127
6079,c,889.6076759
10294,e,889.6076759
5843,c,894.0230652
5860,a,894.1944674
6588,e,894.1944674
7347,b,894.1944674
7623,b,894.1944674
8346,c,894.1944674
8406,b,894.1944674
8732,b,894.1944674
8912,b,894.1944674
8924,a,894.1944674
9185,a,894.1944674
9196,a,894.1944674
9298,a,894.1944674
9373,a,894.1944674
9473,e,894.1944674
9862,b,894.1944674
10740,c,894.1944674
11279,b,894.1944674
8905,a,895.1961058
1734,a,896.7439161
3650,e,896.7439161
3657,b,896.7439161
3674,a,896.7439161
3677,e,896.7439161
3715,a,896.7439161
3732,b,896.7439161
505,a,898.4801404
2614,a,901
4698,a,901
823,a,901.1498212
836,b,901.1498212
843,b,901.1498212
852,a,901.1498212
860,a,901.1498212
2453,b,902.1
2457,a,902.1
2459,b,902.1
2460,b,902.1
2461,a,902.1
2464,e,902.1
2466,a,902.1
2471,a,902.1
2473,a,902.1
2483,a,902.1
2487,b,902.1
2490,c,902.1
2491,a,902.1
2493,a,902.1
2495,a,902.1
2500,a,902.1
2501,a,902.1
2505,a,902.1
2506,e,902.1
2507,a,902.1
2509,d,902.1
2511,a,902.1
2512,a,902.1
2513,a,902.1
2516,b,902.1
2519,a,902.1
2527,a,902.1
2535,a,902.1
2540,a,902.1
2543,a,902.1
2554,a,902.1
2556,a,902.1
4565,e,902.1
4569,e,902.1
4573,c,902.1
4576,a,902.1
4577,b,902.1
4581,a,902.1
4582,b,902.1
4583,b,902.1
4585,a,902.1
4586,a,902.1
4590,a,902.1
4591,a,902.1
4595,b,902.1
4598,e,902.1
4599,e,902.1
4600,a,902.1
4602,a,902.1
4605,b,902.1
4606,b,902.1
4607,a,902.1
4610,a,902.1
4612,b,902.1
4614,b,902.1
4619,a,902.1
4622,b,902.1
4623,a,902.1
4624,b,902.1
4625,e,902.1
4630,e,902.1
4635,b,902.1
4636,a,902.1
4637,e,902.1
4640,d,902.1
4642,e,902.1
4646,e,902.1
4647,a,902.1
4648,e,902.1
4655,a,902.1
4656,a,902.1
4660,b,902.1
4664,a,902.1
4665,a,902.1
4667,a,902.1
4671,a,902.1
7054,a,904.0104882
5634,e,904.9630045
5766,b,904.9630045
10041,a,904.9630045
334,c,906.3182994
363,e,906.3182994
370,a,906.3182994
395,b,906.3182994
398,a,906.3182994
401,b,906.3182994
404,b,906.3182994
407,a,906.3182994
408,a,906.3182994
415,b,906.3182994
6565,b,907
7019,b,907
7222,a,907
7606,c,907
7804,c,907
8221,a,907
9201,b,907
10505,a,907
10532,a,907
10552,a,907
10685,b,907
10809,a,907
11061,a,907
5757,a,907.4847425
9015,a,907.4847425
548,b,913
1335,a,915.9927222
5650,a,916.0108632
5692,a,916.0108632
6169,e,916.0108632
6840,b,916.0108632
6990,e,916.0108632
8816,a,916.0108632
11244,a,916.0108632
958,a,916.6851839
6058,e,921.6640216
11007,b,921.6640216
871,a,928
8691,e,928.8010278
10911,a,928.8010278
6066,b,934.1329454
6282,c,934.1329454
8220,b,934.1329454
10858,c,934.1329454
10982,a,934.1329454
7254,b,936
1002,a,938.8654349
817,e,939
915,a,940.0205402
2584,c,940.8611666
2613,a,940.8611666
2618,a,940.8611666
2650,a,940.8611666
4692,e,940.8611666
4719,b,940.8611666
4728,a,940.8611666
4759,c,940.8611666
4769,b,940.8611666
4784,b,940.8611666
5852,d,941
6555,a,941
6785,b,941
7171,b,941
7846,e,941
8036,b,941
8513,c,941
8613,a,941
8707,a,941
10172,d,941
10177,d,941
10235,d,941
10239,d,941
10241,d,941
10357,e,941
10402,e,941
11122,b,941
426,a,941.616236
427,a,941.616236
5944,a,941.8102713
9941,a,941.8102713
845,a,942.3760426
2463,e,942.3945499
2465,a,942.3945499
2468,e,942.3945499
2470,b,942.3945499
2477,e,942.3945499
2479,a,942.3945499
2486,a,942.3945499
2496,c,942.3945499
2504,b,942.3945499
2514,a,942.3945499
2518,b,942.3945499
2523,b,942.3945499
2536,b,942.3945499
2541,e,942.3945499
2546,b,942.3945499
2549,a,942.3945499
2551,a,942.3945499
4571,a,942.3945499
4579,b,942.3945499
4587,e,942.3945499
4594,a,942.3945499
4604,b,942.3945499
4613,a,942.3945499
4615,a,942.3945499
4627,a,942.3945499
4629,a,942.3945499
4631,b,942.3945499
4634,b,942.3945499
4651,b,942.3945499
56,a,943.9385467
75,a,943.9385467
157,a,943.9385467
180,a,943.9385467
181,a,943.9385467
188,e,943.9385467
196,a,943.9385467
213,c,943.9385467
265,a,943.9385467
267,e,943.9385467
284,a,943.9385467
802,e,946.5857464
10869,e,949.0725375
