,Symptom,Population_density
857,a,108
7524,a,108.0709942
10591,b,108.0709942
7141,b,108.5814711
840,a,109.5447939
862,a,109.5447939
1194,e,110
916,b,110.0002107
9190,e,110.4121668
3747,b,110.7326047
3761,a,110.7326047
11,c,111.4231767
9559,c,112.3553582
10409,c,112.3553582
3290,c,112.6453533
3298,c,112.6453533
5561,a,112.9070742
5841,b,113.7125821
593,a,114.1571255
10561,b,114.8092388
621,d,115
1844,a,115.1645475
1847,a,115.1645475
3841,e,115.1645475
3852,b,115.1645475
952,a,115.3879667
1687,a,116.2102097
1693,e,116.2102097
3647,e,116.2102097
3697,a,116.2102097
3717,c,116.2102097
3869,a,116.4523393
3896,a,116.4523393
8167,a,117.6601323
10080,d,119.4809877
3865,c,119.6776485
3868,b,119.6776485
5698,a,119.7438986
8698,e,119.8470044
9516,a,120.0407806
8314,e,120.2903326
7545,b,120.571179
5,a,121
13,e,121
7723,b,121.0168751
9334,a,121.019394
3322,e,121.460256
3329,d,121.460256
1357,a,121.92
3292,a,121.9943963
3295,b,121.9943963
1186,a,123
1188,a,123
1195,a,123
1198,b,123
1200,a,123
1201,a,123
954,a,124.1302926
6915,a,126.35473
8179,b,126.9144112
10816,e,128.2366496
10674,c,128.4174957
7535,a,129.2441599
7365,e,130.6204024
9476,c,131.2070302
6155,b,133.2847098
3349,a,133.4381379
8774,b,133.8792525
11232,a,134.3338688
568,e,134.6089992
7729,b,134.6910561
7,b,134.7460538
6052,a,135.5680633
3358,c,135.67364
3359,b,135.67364
3360,c,135.67364
3361,a,135.67364
3363,a,135.67364
5615,e,135.67364
5620,c,135.67364
4804,c,135.9679749
4808,a,135.9679749
10614,b,136.2403383
2409,e,136.8867531
2419,a,136.8867531
4461,a,136.8867531
4478,a,136.8867531
1014,d,136.9165383
1026,a,136.9165383
1034,e,136.9165383
2707,a,137.0511745
4838,b,137.0511745
788,b,137.7113544
501,e,138
517,a,138
9099,a,138.3824746
8368,a,138.7561327
11233,a,138.8758406
504,a,139
511,e,139
528,e,139
882,a,139.2180452
886,b,139.2180452
887,a,139.2180452
890,a,139.2180452
1029,a,139.5910789
506,e,139.6941333
516,e,139.6941333
519,a,139.6941333
9921,b,140.0817846
1862,a,140.7050476
1864,a,140.7050476
1866,e,140.7050476
1868,a,140.7050476
1869,e,140.7050476
1872,b,140.7050476
3871,a,140.7050476
3895,e,140.7050476
1845,a,141.3970557
1851,b,141.3970557
